file,line,real_a,real_k,real_b,mle_b,success
erik-sim/a1_k20_b1/trees.tre,1,1.0,20.0,1.0,0.9622825000835946,True
erik-sim/a1_k20_b1/trees.tre,2,1.0,20.0,1.0,0.9085074571011282,True
erik-sim/a1_k20_b1/trees.tre,3,1.0,20.0,1.0,0.7988611507702684,True
erik-sim/a1_k20_b1/trees.tre,4,1.0,20.0,1.0,1.3698827054666016,True
erik-sim/a1_k20_b1/trees.tre,5,1.0,20.0,1.0,1.3082690701567035,True
erik-sim/a1_k20_b1/trees.tre,6,1.0,20.0,1.0,1.331025893682159,True
erik-sim/a1_k20_b1/trees.tre,7,1.0,20.0,1.0,0.8116289192574838,True
erik-sim/a1_k20_b1/trees.tre,8,1.0,20.0,1.0,0.96134478898127,True
erik-sim/a1_k20_b1/trees.tre,10,1.0,20.0,1.0,0.7784705514536764,True
erik-sim/a1_k20_b1/trees.tre,11,1.0,20.0,1.0,0.8456064650284058,True
erik-sim/a1_k20_b1/trees.tre,12,1.0,20.0,1.0,0.8912971720017998,True
erik-sim/a1_k20_b1/trees.tre,13,1.0,20.0,1.0,0.8863044110567785,True
erik-sim/a1_k20_b1/trees.tre,14,1.0,20.0,1.0,0.9694037458880774,True
erik-sim/a1_k20_b1/trees.tre,15,1.0,20.0,1.0,1.3449712425924845,True
erik-sim/a1_k20_b1/trees.tre,16,1.0,20.0,1.0,0.9852964391730542,True
erik-sim/a1_k20_b1/trees.tre,17,1.0,20.0,1.0,1.0111044881542228,True
erik-sim/a1_k20_b1/trees.tre,18,1.0,20.0,1.0,0.5947756334078037,True
erik-sim/a1_k20_b1/trees.tre,19,1.0,20.0,1.0,0.758119366286544,True
erik-sim/a1_k20_b1/trees.tre,20,1.0,20.0,1.0,0.5941255922079146,True
erik-sim/a1_k20_b1/trees.tre,21,1.0,20.0,1.0,0.9790072987910537,True
erik-sim/a1_k20_b1/trees.tre,22,1.0,20.0,1.0,1.0272853956503891,True
erik-sim/a1_k20_b1/trees.tre,23,1.0,20.0,1.0,0.8795465730531208,True
erik-sim/a1_k20_b1/trees.tre,24,1.0,20.0,1.0,1.4554146808552417,True
erik-sim/a1_k20_b1/trees.tre,25,1.0,20.0,1.0,1.170836591956968,True
erik-sim/a1_k20_b1/trees.tre,26,1.0,20.0,1.0,1.1161357657693007,True
